id,age,length,nviews,rating,nratings,ncomments,,
OblxpMmMVWU,484,366,51795,2.08,389,869,,
Z0QP0la8pZQ,1030,235,328,3,1,1,,
1pXINurLx9U,1028,207,130,0,0,0,,
3RO76T7HzdE,531,181,66994,4.67,359,334,,
6lSacjP4nW0,1118,240,153,0,0,0,,
IEYyakTw4cU,1035,467,64,0,0,0,,
#NAME?,1011,267,12737,4.31,16,10,,
HQoHEBUJW-M,911,594,3084,0,0,6,,
_64VnA68T2Y,1230,95,225,1,1,5,,
DTaNKZzxKKE,1232,180,738,4.88,8,9,,
uAw6xVN9vsg,1172,314,10421,4.79,57,161,,
Ooiz2wyD_U8,1231,589,1250,4.97,37,47,,
w0OIROITV3U,1231,73,108,3,3,5,,
YqYkZkk9I2s,1231,64,3603,4.38,32,67,,
0kw3U28LFrg,1228,94,288,3,4,2,,
fAu-P1wKT5Q,1227,37,330,0,0,1,,
WNXNdx1EsK0,1228,96,178,4,1,1,,
js7R4YCG8M0,1244,102,97,5,4,5,,
5tPldLmzOcE,1025,356,987,5,1,4,,
JDEwDOxkfII,1137,258,870,4.17,18,11,,
T7cSchqASJ0,1165,162,1463,4.62,16,17,,
hSsO1xNzXMM,1228,124,1697,4.46,24,31,,
3v3IlOsop08,1231,402,90,4.5,2,0,,
LDX_o_0z6K0,843,128,14236,4.64,11,18,,
EhLjMOQ1mWQ,1230,73,1034,4.25,4,1,,
uNal1gA0iOE,898,236,18835,5,29,13,,
Dn1E8Gv6bW0,1153,348,1103,3.81,21,13,,
_IqxwyJ2U8A,1134,443,132,0,0,0,,
8TfKM20qwuo,1183,201,269,2.6,5,10,,
47h4ncrznA0,1231,272,89,3.8,10,6,,
tIxb0w3rrmg,1235,168,100481,4.65,105,130,,
tSZSGhdan-w,1219,70,271,0,0,0,,
uQCVL4Eagk4,1236,283,1714,5,1,0,,
P07TTRkcSlM,1224,504,9048,4.57,21,5,,
IVv3UJS1FXM,1208,31,679,0,0,1,,
QnI_WCFicP8,1180,251,878,4.5,8,11,,
FKKGZ9O1z3g,1211,245,92,3.67,3,4,,
1R46wCeYkGo,1235,168,27046,4.67,30,45,,
h34pPSt63Bs,1245,24,754,0,0,0,,
6xRES0PwSEg,1245,275,1328,5,1,1,,
YMS8ZiZ5z_8,1245,77,614,5,2,2,,
Oxuulg7SnYE,1245,65,432,0,0,0,,
lVA4SAFZqgI,1247,385,1284,5,3,2,,
VXGvpB47USk,1245,72,5007,4.85,13,17,,
5deK2xgPRa0,1244,91,5198,4.64,14,4,,
dkEnPeY0NXE,1247,531,555,5,2,1,,
LmoWJkP--mM,1245,296,1381,5,2,4,,
L-1DUzkbjqM,1245,95,834,0,0,2,,
vwiBnGGw_FY,1245,108,130,0,0,0,,
HlYNHF_qhPg,1245,48,175,0,0,1,,
hM4KJtQNZ_o,1245,29,988,5,2,4,,
1voROisJNac,1245,33,158,0,0,1,,
PYWA2_KTtqw,1245,121,198,0,0,0,,
Ri3gVYXxLg0,1245,57,156,0,0,0,,
lwwypRFX1YA,1246,198,3389,4.2,5,3,,
QBOuZxSccok,1247,153,74,0,0,0,,
mw7rTX4spUo,1245,111,2091,0,0,7,,
SyZxElsssuw,1085,219,149,0,0,2,,
u4fWqhlGZzE,756,251,7039,4.31,16,2,,
xPuHOmGWJbY,907,29,13170,4.61,18,30,,
_m1zPIMHlBM,1195,14,73,0,0,0,,
rDjK3HwoaJ8,1189,186,330,5,2,10,,
-c2bYYWo17E,1196,242,4776,3,2,0,,
UPg2sE4-LiA,1145,181,509,0,0,4,,
JuFTLd9tfhw,1161,248,1157,0,0,0,,
YJzI525y870,1024,30,15580,3,4,4,,
ImKQSx390y0,1153,153,67,0,0,1,,
gF6zYE2Ywk0,1186,13,45,0,0,1,,
hTHXIZzCKBc,1181,605,21915,4.18,38,20,,
UG_qFNtHaU0,882,333,1888,0,0,3,,
BFQCs9_-XoY,1150,68,175,4,1,1,,
bDx5_qUhlg0,993,37,132,5,1,3,,
Xxn-BRK1rZM,961,57,3326,3.67,6,9,,
Km2YdHr2Qyc,867,17,9786,4.62,8,7,,
YQnGegvKJ1s,930,82,701,4.75,4,3,,
yKU-gBHJuYQ,904,255,4588,2.79,19,16,,
VHu4VSz3iwY,1048,233,1644,3.67,3,5,,
UvhQ7KMbqiQ,1072,281,481,2,4,2,,
#NAME?,1051,147,707,4.5,2,0,,
C7WI_nP-3ik,840,139,6403,5,16,16,,
gZGU_NhC6nQ,930,96,487,5,3,11,,
CHhVRl105aM,929,266,13000,5,9,20,,
YeGj2FJLJxQ,838,89,19193,4.25,8,14,,
TiSB3wOiPtA,1103,103,162,0,0,0,,
xm1r7juQHec,1064,119,329,5,1,0,,
76-eAfIT5GA,780,39,2832,3.17,6,10,,
1dHCu92lciM,842,18,965,3,2,3,,
nIY2aZVOkco,807,30,764,5,2,3,,
bL4lkg0bHQo,949,77,762,0,0,2,,
2NSnShgwG3U,801,172,10760,3.9,10,29,,
W1jhF7KlESE,710,74,18877,4.56,9,22,,
tbwfNTi4duQ,580,270,14166,3.53,15,0,,
pWQgJfRGMgg,801,180,18583,3.89,62,34,,
tQlsXFfSuZU,945,394,10934,4.83,24,13,,
eMChGIVsPW8,721,267,3347,4.67,12,2,,
7o5PDBP8_t0,946,350,3373,4.25,12,5,,
ofOmqMGkfuY,620,46,3216,4.75,8,3,,
sIFkTmksGpY,683,258,4396,4,7,4,,
GsJVCby9dFI,708,124,16940,1.68,31,12,,
#NAME?,1244,154,39,2,2,1,,
jT2WNdVDv4M,1242,105,100,5,3,3,,
eaMledbh-Oc,1173,417,281,5,5,1,,
1YExXuUVXdQ,1100,192,552,5,3,4,,
4LqB6CiQp9o,1203,51,812,4.4,5,5,,
D9z_btPlr-I,1086,37,983,5,1,3,,
6-5_5gljP_w,1169,350,2153,5,8,10,,
ohv9t-JW7Ks,1254,80,525,3.81,43,25,,
gvGasd-6G2c,1254,22,193,4,7,4,,
i5EWNzGtuX0,1134,38,452,4.5,2,8,,
NKvzFjznH_g,1255,25,388,5,2,4,,
54fyFzV5E5A,1255,116,44,5,5,6,,
gZBxr80hYmY,1255,447,444,4.52,23,14,,
C3rZS-8LAvQ,1255,122,4685,4.92,65,106,,
raGKQ6o5fH0,1255,183,497,4.6,20,32,,
AnNoSY8WLwg,1134,44,40,2.5,2,2,,
t52T_W1e7dE,1212,594,16748,4.97,322,288,,
E55feGtTcnc,1241,252,2018,2.83,53,47,,
y1zkhD7IxKw,1255,16,9,0,0,0,,
WCEvkGIk2KM,,,,,,,,
zIsorWVgcNY,1251,4,1549,1.37,68,69,,
D5_oAhURVWA,1251,31,93,0,0,1,,
LpI11mvs7fs,1251,387,80,0,0,0,,
bd3B_H86zQs,1252,180,115,5,1,0,,
iexhFB4Ln8A,1252,128,118,5,2,0,,
#NAME?,1252,34,44,0,0,0,,
eUyamphODMw,1252,109,382,2.6,5,3,,
qA0A2BM4ADg,1247,422,114,5,3,1,,
ao3J_S5zu_M,1252,25,33,0,0,1,,
Ktl4EbDZxzM,1248,234,258,5,2,0,,
p5g3nDaHlYU,1247,113,511,4.83,23,20,,
Zjj_rixhmMg,1246,127,367,0,0,0,,
TdbQ4kcGuWk,1252,69,80,3,2,9,,
atqbHYqxnN4,1252,31,68,0,0,2,,
ow6lNZG50D8,1193,183,241,2.8,5,5,,
YVtaxqMGbb0,1251,77,97,5,3,1,,
LJzze_xmwGg,1251,85,371,5,5,4,,
Q0GrCoriywE,1155,124,1376,5,10,17,,
HfrHQEQH9d0,1148,178,4582,4.09,11,5,,
p3K2L-Pk0uU,1183,158,957,5,9,4,,
16kJVh5LGc8,920,275,4437,4.62,29,23,,
dXE4pTkuvUk,454,96,4301,4.5,28,23,,
f51RTpHdHMs,1216,447,380,4.25,8,7,,
_IdN1cdHMu0,1244,596,916,4.82,11,2,,
Jrn3bgpSjtA,911,638,1976,4.54,37,24,,
vyFW-1gnfFg,1251,81,45,0,0,0,,
mCNyRMSnybM,1235,73,168,3,1,0,,
bfiZkK8LG8g,1247,252,104,5,3,3,,
tL9vq97xtC4,1228,84,2309,4.83,24,33,,
BViwGvDG334,1235,61,247,2.67,3,2,,
wglYv8jThFE,1236,24,106,0,0,1,,
tgfnp8z9ndk,1246,190,108,4,4,1,,
Znmd6HbrK_4,1215,509,3275,4.93,28,20,,
XXUHj4J-XUo,746,73,1052,5,2,0,,
O7Tji0_Gdqo,1066,59,30724,4.67,138,109,,
O_UhAT2dBOA,1212,630,714,5,5,1,,
kC-Q27o8c_M,1236,125,43,4,2,3,,
8F3YAlwTRsY,1237,76,1365,4.5,10,8,,
4s_4aRVUAOs,1018,76,458,3.67,3,1,,
q4ENM7AwUwQ,1221,224,162,1.33,12,20,,
8Rm0lQzdJiI,1201,39,818,2.25,8,7,,
qAJ7DydiRJI,1035,93,802,1,1,0,,
tmR3U7uFFi0,1097,77,2801,2,1,11,,
cLgO2RNdtbM,1172,117,357,2,1,0,,
_WulfNuFLZs,1182,77,450,5,1,4,,
97QAbI9IvCY,561,60,158147,4.71,140,50,,
sULbqMoWwM4,1232,37,177,3.4,5,8,,
XjiHybENZbM,1208,153,1716,5,14,22,,
h6brF8rPgQQ,1066,66,629,4,4,21,,
vhK3SXleEdI,1200,64,1662,4.25,24,15,,
8yFKvukGSY4,1231,162,13576,4.71,141,128,,
UuZpOtQFYAY,1229,276,34,0,0,0,,
LJOlvBNDGMA,1203,159,456,4.81,21,16,,
h31pDAjDmWM,0,136,1597,3.4,5,1,,
G4tVq64c9S0,1228,40,211,4.91,11,5,,
si4DZdAV2uI,1234,176,697,1,1,0,,
rJke1pGWLl0,1167,120,2677,4,4,2,,
y5DtI7Kjr7M,1197,91,2184,0,0,0,,
chdEpsYcBbM,1025,223,15416,4.18,39,47,,
cz1Qyo176QU,1233,216,1155,4.73,22,20,,
PPGtkZfk7ug,696,102,16218,4.3,30,19,,
znE6GXK16eQ,1142,406,102,5,1,3,,
WQD2oYEfcos,968,38,2463,1.53,15,14,,
r2uxvcgd52I,988,396,4338,4.84,32,28,,
OqbonmEbM4k,1230,125,201,5,2,3,,
fEeJ_f2q05E,1230,222,91,0,0,1,,
X5uatuWT9NM,1254,220,48,5,1,0,,
nsKxWa9sCLc,1254,75,26,2.33,3,0,,
2dyl0nXJWYM,1254,217,122,2.6,5,4,,
Rw5IFcI1Yk4,1254,232,40,4.67,3,1,,
3z1uj03mhgs,1254,43,7544,4.59,293,268,,
OdtZ8E65BK4,1254,121,48,3,1,0,,
wh6_-KtD0Wc,1254,30,113,4.44,9,8,,
se-dZgYStoc,1254,106,119,4.14,7,5,,
h6t96UI63H8,1255,25,43,5,2,2,,
w_a4QJ_WUtU,1254,7,53,5,2,6,,
KrnnNKAF13I,1253,321,36,5,1,1,,
ySVVV80IhLQ,1253,283,104,5,1,3,,
FYdKKWaZvUQ,1253,242,110,4.67,6,3,,
cMotTHEolmQ,1254,95,34,0,0,0,,
V3JpIbXrA2A,1253,58,84,0,0,1,,
9u2P9kg4J70,1254,45,28,4,2,0,,
NGu6f1xX4y4,1254,103,243,4.5,8,7,,
ReDjkeUpwD8,1229,65,250,5,3,2,,
DnAp0qo5I6w,1232,222,371,4.89,9,9,,
OsOBVBaflt0,1217,225,4361,4.93,27,58,,
2nivdQo9tko,1236,599,145,4.67,3,1,,
2Fam-zPy-aI,1224,448,277,5,2,0,,
DGf6MmkiSZ0,1139,211,14517,4.62,45,41,,
6BnL-hIXWsY,1236,552,49,0,0,0,,
3w5lMdL91zg,1230,75,452,4,4,5,,
nwNQe5pcmMo,1236,197,836,2.86,7,12,,
eAkvx9gM2RA,1185,190,8302,4.93,56,41,,
Ar3gVq580FI,1229,37,98,5,1,1,,
#NAME?,1231,35,155,5,1,0,,
Jnhs_rUY6F8,1228,171,772,5,10,8,,
VDA979836UI,1230,217,57,0,0,0,,
QA3il4Oj_f0,1249,477,85,4.5,2,2,,
kPVE2rUKzvQ,1253,67,175,4.33,6,5,,
AHAktmu6tDs,1252,64,14,0,0,0,,
hrbEj9bEXSU,1251,420,235,5,7,6,,
rq_YKfU1QuI,1248,50,136,2,7,0,,
uKOLhoL40ss,1161,73,2632,4.56,18,13,,
AU7McCyJr20,1201,431,846,4.67,15,15,,
wWvRiS1OLLw,1080,44,2058,3.96,23,8,,
#NAME?,1247,48,33,5,2,0,,
pEVhMR-RxVU,1246,61,172,5,4,6,,
DS8nB6bIAJA,1251,100,220,2,4,4,,
zgVhxZ2cKB8,1251,57,176,5,1,0,,
oGtY-Cci0CI,1251,209,2448,3,1,1,,
txysBfk40Bw,1251,600,277,1.5,2,0,,
zPWm8E9yS18,1251,37,148,0,0,0,,
v8HtZ8WPk8Y,1251,128,549,3.5,6,8,,
nhMDXXQFPLA,1251,131,46,0,0,0,,
bhICrcDUmp0,1251,95,170,0,0,0,,
M7SgQzwV8FE,1253,4,66,5,1,1,,
Z1mfJOEDjOI,1251,289,152,0,0,0,,
uqhM416UyQ8,1251,126,94,5,1,1,,
c0wdQCrnIB8,1251,353,310,3,1,0,,
jFoW16-ooIg,1251,24,74,0,0,0,,
A5fHsiYSCyA,1251,165,1067,5,1,0,,
VLLYcLGSICg,1251,48,33,1,1,0,,
#NAME?,1251,480,525,1,2,4,,
SAT5Uu2vneI,1253,254,30,0,0,1,,
zDDP9OXF354,1155,31,12928,4.94,118,145,,
e2jc4DGKX-Q,1141,369,784,2.89,9,9,,
4yXPeTsTE5U,1252,105,12,0,0,0,,
iXu1yGzMS3M,1253,96,77,3.4,5,1,,
R_L9yy2Qgss,942,18,25045,2.63,35,31,,
GrOlzmXQ4Sc,1191,40,5396,5,2,2,,
URkc9GE7ke4,842,6,117716,2.51,184,142,,
fHACiBZWvUM,1040,52,8084,3.07,15,12,,
Hz88D5Uy1VE,940,94,18005,3.3,10,4,,
e4RnH5kmWn8,1153,110,5024,3.25,8,2,,
J7HyvegDxT8,1252,138,575,2.67,3,2,,
BG5gcz9TFfo,1181,44,5915,2.14,14,5,,
r2-JlXbuBDE,1252,77,288,0,0,0,,
dv6pJ2D_Sek,1156,162,7794,4.97,31,17,,
lCvzkd_Nsg0,1152,120,4606,4.91,11,3,,
lDhPAgUZaII,1105,25,97,0,0,0,,
MuuwU7_PA7A,1252,140,892,3,2,1,,
At_ZjzikG4g,787,111,28056,0,0,0,,
Ee61doJB3kM,1253,481,17,0,0,0,,
6eyzfNPYzZs,649,38,67474,3.91,45,51,,
hl5JVS5I7Qo,1250,201,10,0,0,1,,
Ev4nYdVEHU0,1254,173,69,3.33,3,2,,
z47WUM2_f-4,1253,24,18,1,1,1,,
z53XWDw-TN8,1244,400,188,3.43,7,11,,
ssKQbiboQtw,1228,603,1136,5,3,6,,
Peo0jlsgywU,1250,49,41,1,1,1,,
YKha2ZAPOQ4,1250,494,1621,4.91,46,14,,
MoavL8kNxh4,1251,575,2333,4.94,51,27,,
F-XSSoop9XY,1232,337,20602,4.9,98,66,,
49a6diRYA78,1237,596,4302,4.98,63,45,,
4rg5uYOJfDs,1252,622,2136,4.89,44,37,,
UhbKcWmIV7c,1232,610,15238,4.82,92,77,,
a_CazKkKNyQ,1250,438,2058,4.95,39,37,,
Z2ZJvj9ZmKQ,1249,458,2142,4.91,46,28,,
olm9GTWRo-Y,1253,371,2066,4.82,39,19,,
Ey0IepQmbU4,1202,422,13354,4.76,46,41,,
FJiWk0SjrHQ,1233,415,14089,4.94,88,34,,
ysLF3VaMGt8,1254,338,2370,4.95,41,37,,
P-bNI6JpsZk,1242,451,4922,4.98,58,52,,
7w7Qy8TlHPc,1253,279,1675,4.95,38,28,,
DLHnLeACERA,1242,599,1277,4.53,17,4,,
oammMbMXI74,1245,61,436,5,2,1,,
u05y6I8n6q0,1245,105,337,0,0,0,,
VvlLL0__eBs,1245,30,6539,5,3,1,,
t3b5NvQhH20,1245,11,335,0,0,0,,
pjS7bP7n6GE,1245,500,1684,5,6,0,,
Z2aNFOdRyTY,1242,304,789,5,5,2,,
Qbscqt_Inek,1248,608,1245,5,10,5,,
ztFfksFXJmM,1245,543,3901,5,14,5,,
a1yEsEsAXdQ,1153,223,2604,3.25,4,4,,
YvpDUGleamw,1095,101,11688,5,43,25,,
jOztQOLOVEU,1245,512,1049,4.62,13,7,,
wgr2UaaOvsQ,1246,331,463,4.5,8,4,,
jozTnOJFQpE,1066,121,1255,3,6,1,,
PJ1472fgxc4,1117,246,2095,1.78,18,4,,
L8eWMN9UI6w,1158,145,984,4.2,5,3,,
NftIIzDeSro,1251,279,239,0,0,0,,
9afVPR1Afuo,1252,905,16191,4.77,30,34,,
XgxpKMpy-yY,1253,312,464,5,1,0,,
92BLES829ZE,1252,131,33,0,0,0,,
lMqhEplAHiI,1252,52,96,0,0,0,,
TeE23NIFDlk,1252,1709,4642,5,16,43,,
pl4qN5zSZbs,1253,21,264,1,2,1,,
yllK7FFRpJw,827,137,3007,4,1,5,,
vrs9VPV3Rxg,1251,366,241,0,0,0,,
DHs9hEGY6tc,1252,521,271,5,2,3,,
DLjgwEC0YvM,1249,304,124,4,1,1,,
jhw_FL-wFcY,1251,249,1301,3.44,9,1,,
olf4cQRgkas,1253,198,417,5,3,0,,
JuOv1tqRQRI,1252,13,238,5,1,2,,
NJ6r8J_2mSI,1248,269,185,0,0,0,,
jJ9fu6Az0hQ,1252,50,139,0,0,1,,
YTL0RfimYIg,1250,262,106,5,1,1,,
pwYjuw3OxS4,1251,145,196,0,0,0,,
Oxfsb1wvWb8,1076,51,1193,4.83,6,7,,
19_YveygUU8,822,58,2997,4.14,7,6,,
uTeIP4Bk2Sc,959,60,2158,5,8,12,,
IH7Ba7cdfXY,1084,31,1260,4.92,12,0,,
i37Vi2m7rkE,899,30,2175,5,7,4,,
0MVkwmXaW-U,900,30,20696,5,25,19,,
0ZTItVNeCp8,901,30,852,5,5,1,,
sRG7DAANuIA,900,30,1497,4.8,5,9,,
G59o933Xpeo,1082,30,367,5,2,1,,
9c3UBax_pNM,1076,30,221,5,3,1,,
DP4eeWzJJXk,959,29,1347,5,3,6,,
oe6LKfHoItE,900,30,1171,4.6,5,5,,
qAADzSrxDHg,900,30,917,5,1,2,,
T-xs8bgggKg,900,29,1575,4.71,7,1,,
ON5A2el_CuM,979,30,779,5,2,3,,
yuioOnlJT0E,756,13,8234,5,6,14,,
61xCehP_A7c,1006,249,571,4.25,4,6,,
53mrJ8DxMtk,827,406,3335,5,4,8,,
sqpYc5BFcX4,726,87,12719,4.96,25,41,,
LdK_vPY1ugo,734,7,2378,3.67,3,3,,
kdXNpEUT54o,964,108,6272,4.69,13,7,,
_W_MBGn3XjM,932,599,1457,5,4,3,,
r93KILhArD4,827,429,1861,5,2,7,,
VTC7dU2IX7A,965,502,495,5,1,1,,
pGLl-WFjPL0,569,126,2658,4.7,10,7,,
fHTUSnlJfsY,854,289,1837,4.67,3,8,,
lsnk7AdnAsk,912,458,2589,4.8,5,7,,
XL1kiD0tRyE,976,30,5511,5,17,14,,
5GpptJusOjM,317,29,59409,4.61,46,94,,
_PysRX8DQp0,572,167,20969,4.92,36,61,,
geylbd9LzEU,979,45,3427,4.3,10,8,,
URfXZeaBQA8,788,14,18890,4.69,26,25,,
Q-oMtXSVKyU,967,32,1878,5,2,12,,
YdCzLnuvXGg,888,30,7721,4.6,10,28,,
iwGzMX8bSFM,1019,202,1940,5,5,4,,
eQl1HQXaNio,862,192,2738,4.62,8,15,,
ZOnS2Hj1eeQ,948,29,5327,4.64,11,23,,
Cnh8bFR1p9Q,864,29,3501,5,2,11,,
unpuywHanBc,1013,30,1704,4.5,4,4,,
7g44FjTnFPE,370,28,14439,4.52,25,36,,
X53eJ8AWQ9Y,510,29,70672,4.79,48,51,,
wvSgw-0pTvY,568,17,10738,4.02,42,20,,
7TLOnWvYfjM,898,43,604,4.5,2,0,,
Qb2aZCxjoTU,714,104,1828,2.33,3,12,,
GkaaJUM1XPQ,750,61,48976,4.77,43,32,,
9_hsoHy8Eis,621,32,1618,5,7,1,,
ysA7tg4i0PQ,968,109,190,1,1,1,,
yLbVpOPk6BQ,1037,30,908,4,2,5,,
MK_pwMItCPM,952,30,1687,3,2,2,,
ydDaFqcsXKE,458,33,80248,4.74,85,91,,
5lShU4eM8VI,1100,30,473,5,1,3,,
VUcYlLhct-M,783,34,25585,4.4,57,220,,
V4FiADFtiCc,483,32,8673,4.86,14,16,,
lzKTG8LJF2M,750,31,13149,4.8,15,11,,
0G2TzdbGCUs,525,29,2407,5,3,12,,
E7pT5G-eNYY,1245,73,217,5,3,0,,
VFtEK5YotrQ,1070,243,925,5,3,4,,
RgnyFRmKy1s,1070,181,988,5,10,5,,
VA0LY5JefUc,1070,148,735,4.5,2,1,,
